neighbourhood,listings,median_price,average_price,median_availability,median_reviews
Altstadt-Lehel,169,276.0,340.29585798816566,179.0,12.0
Schwanthalerhöhe,139,225.0,268.7769784172662,179.0,8.0
Maxvorstadt,291,201.0,248.24398625429552,169.0,15.0
Ludwigsvorstadt-Isarvorstadt,576,183.5,241.15277777777777,179.0,14.0
Au-Haidhausen,203,166.0,206.44334975369458,150.0,12.0
Sendling,134,159.0,211.44776119402985,131.0,9.0
Bogenhausen,206,147.5,181.07766990291262,179.0,8.5
Schwabing-West,232,147.5,200.22413793103448,171.5,8.0
Schwabing-Freimann,179,140.0,186.1731843575419,175.0,11.0
Neuhausen-Nymphenburg,241,138.0,184.53941908713693,176.0,6.0
Untergiesing-Harlaching,131,136.0,166.27480916030535,192.0,7.0
Berg am Laim,95,131.0,196.4842105263158,179.0,12.0
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,202,125.5,165.19306930693068,221.0,7.0
Obergiesing,146,124.5,182.54109589041096,179.0,8.5
Laim,134,121.5,175.82835820895522,146.0,11.0
Moosach,103,120.0,154.0873786407767,253.0,8.0
Allach-Untermenzing,60,119.0,159.36666666666667,225.5,8.5
Sendling-Westpark,158,119.0,171.58227848101265,140.5,11.5
Tudering-Riem,248,118.0,150.9516129032258,210.0,8.0
Milbertshofen-Am Hart,141,116.0,148.74468085106383,171.0,8.0
Hadern,43,115.0,141.65116279069767,163.0,6.0
Ramersdorf-Perlach,202,113.0,140.4851485148515,231.5,8.0
Feldmoching-Hasenbergl,73,113.0,159.91780821917808,177.0,11.0
Pasing-Obermenzing,145,111.0,149.91034482758621,196.0,6.0
Aubing-Lochhausen-Langwied,136,110.0,137.0514705882353,256.5,5.0
