id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price_eur_per_night,price_unit,distance_to_oktoberfest_km,distance_band,oktoberfest_observed_days,oktoberfest_available_days,available_during_observed_oktoberfest
97945,Hadern,48.11492,11.48954,Entire home/apt,2,126,0.7,174,115.0,EUR per night,4.834513295800563,2-5 km from Oktoberfest,,,
114695,Berg am Laim,48.12071,11.63758,Entire home/apt,2,84,0.46,245,166.0,EUR per night,6.654794716946095,5-10 km from Oktoberfest,,,
127383,Maxvorstadt,48.15199,11.56482,Entire home/apt,3,124,0.68,29,194.0,EUR per night,2.506489133776459,2-5 km from Oktoberfest,,,
159634,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,1,52,0.29,26,90.0,EUR per night,6.250706589402833,5-10 km from Oktoberfest,,,
170154,Sendling-Westpark,48.10814,11.52733,Private room,3,602,3.35,70,97.0,EUR per night,3.112623836308951,2-5 km from Oktoberfest,,,
172977,Maxvorstadt,48.14957,11.55507,Private room,2,130,0.76,133,105.0,EUR per night,2.0078124258224617,2-5 km from Oktoberfest,,,
189606,Au-Haidhausen,48.126277923583984,11.579534530639648,Entire home/apt,2,304,1.7,298,119.0,EUR per night,2.315091516426415,2-5 km from Oktoberfest,,,
190383,Berg am Laim,48.12424,11.63186,Private room,1,298,1.72,35,45.0,EUR per night,6.171736709295494,5-10 km from Oktoberfest,,,
190653,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,2,248,1.43,277,105.0,EUR per night,0.8960197406576703,0-2 km from Oktoberfest,,,
192933,Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Entire home/apt,2,114,0.63,197,164.0,EUR per night,1.3899359066218175,0-2 km from Oktoberfest,,,
193463,Maxvorstadt,48.155906677246094,11.572439193725586,Private room,2,258,1.5,214,85.0,EUR per night,3.165850659985809,2-5 km from Oktoberfest,,,
193477,Maxvorstadt,48.15517425537109,11.56930160522461,Private room,1,104,0.84,23,66.0,EUR per night,2.975940818607913,2-5 km from Oktoberfest,,,
195388,Ramersdorf-Perlach,48.10026,11.6068,Entire home/apt,2,335,1.86,131,130.0,EUR per night,5.52015532066833,5-10 km from Oktoberfest,,,
196265,Au-Haidhausen,48.12093989704832,11.576968266475092,Entire home/apt,5,81,0.47,339,226.0,EUR per night,2.3752229451548112,2-5 km from Oktoberfest,,,
197197,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08972,11.51393,Private room,3,281,1.56,80,75.0,EUR per night,5.382576088722311,5-10 km from Oktoberfest,,,
198942,Berg am Laim,48.1177,11.64272,Private room,3,151,0.87,54,69.0,EUR per night,7.097014720886356,5-10 km from Oktoberfest,,,
198990,Neuhausen-Nymphenburg,48.15797,11.51046,Entire home/apt,119,21,0.12,291,8.0,EUR per night,4.09797483724905,2-5 km from Oktoberfest,,,
199066,Untergiesing-Harlaching,48.09092,11.56088,Private room,2,494,2.75,167,120.0,EUR per night,4.634432936892332,2-5 km from Oktoberfest,,,
