id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,availability_level,has_reviews,snapshot_date,generated_at
97945,Hadern,Entire home/apt,115.0,2,126,0.7,174,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
114695,Berg am Laim,Entire home/apt,166.0,2,84,0.46,245,High,True,2026-06-29,2026-09-11T01:25:48+02:00
127383,Maxvorstadt,Entire home/apt,194.0,3,124,0.68,29,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
159634,Pasing-Obermenzing,Entire home/apt,90.0,1,52,0.29,26,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
170154,Sendling-Westpark,Private room,97.0,3,602,3.35,70,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
172977,Maxvorstadt,Private room,105.0,2,130,0.76,133,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
189606,Au-Haidhausen,Entire home/apt,119.0,2,304,1.7,298,High,True,2026-06-29,2026-09-11T01:25:48+02:00
190383,Berg am Laim,Private room,45.0,1,298,1.72,35,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
190653,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,105.0,2,248,1.43,277,High,True,2026-06-29,2026-09-11T01:25:48+02:00
192933,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,164.0,2,114,0.63,197,High,True,2026-06-29,2026-09-11T01:25:48+02:00
193463,Maxvorstadt,Private room,85.0,2,258,1.5,214,High,True,2026-06-29,2026-09-11T01:25:48+02:00
193477,Maxvorstadt,Private room,66.0,1,104,0.84,23,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
195388,Ramersdorf-Perlach,Entire home/apt,130.0,2,335,1.86,131,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
196265,Au-Haidhausen,Entire home/apt,226.0,5,81,0.47,339,High,True,2026-06-29,2026-09-11T01:25:48+02:00
197197,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Private room,75.0,3,281,1.56,80,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
198942,Berg am Laim,Private room,69.0,3,151,0.87,54,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
198990,Neuhausen-Nymphenburg,Entire home/apt,8.0,119,21,0.12,291,High,True,2026-06-29,2026-09-11T01:25:48+02:00
199066,Untergiesing-Harlaching,Private room,120.0,2,494,2.75,167,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
199099,Obergiesing,Entire home/apt,97.0,6,60,1.01,223,High,True,2026-06-29,2026-09-11T01:25:48+02:00
199256,Maxvorstadt,Private room,43.0,3,452,2.7,233,High,True,2026-06-29,2026-09-11T01:25:48+02:00
199797,Schwabing-Freimann,Entire home/apt,135.0,1,67,0.37,278,High,True,2026-06-29,2026-09-11T01:25:48+02:00
199828,Maxvorstadt,Entire home/apt,44.0,60,6,0.15,330,High,True,2026-06-29,2026-09-11T01:25:48+02:00
199840,Tudering-Riem,Private room,123.0,1,69,0.4,315,High,True,2026-06-29,2026-09-11T01:25:48+02:00
199843,Maxvorstadt,Entire home/apt,172.0,30,6,0.18,296,High,True,2026-06-29,2026-09-11T01:25:48+02:00
201628,Hadern,Private room,70.0,1,274,1.53,325,High,True,2026-06-29,2026-09-11T01:25:48+02:00
201694,Ramersdorf-Perlach,Entire home/apt,107.0,1,85,1.74,123,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
202055,Neuhausen-Nymphenburg,Private room,83.0,1,274,1.54,28,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
202489,Untergiesing-Harlaching,Entire home/apt,340.0,1,38,0.23,14,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
205381,Bogenhausen,Entire home/apt,205.0,1,793,4.56,177,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
205393,Bogenhausen,Entire home/apt,106.0,1,671,3.94,194,High,True,2026-06-29,2026-09-11T01:25:48+02:00
205415,Bogenhausen,Entire home/apt,134.0,1,915,5.38,176,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
205431,Schwanthalerhöhe,Entire home/apt,147.0,1,1069,6.04,180,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
206288,Obergiesing,Entire home/apt,183.0,2,154,0.9,170,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
210348,Ludwigsvorstadt-Isarvorstadt,Private room,67.0,2,102,0.59,293,High,True,2026-06-29,2026-09-11T01:25:48+02:00
211374,Tudering-Riem,Private room,78.0,1,246,1.4,171,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
216529,Au-Haidhausen,Entire home/apt,429.0,5,25,0.17,177,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
217148,Feldmoching-Hasenbergl,Private room,31.0,10,121,0.67,123,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
217313,Sendling-Westpark,Entire home/apt,840.0,5,27,0.16,306,High,True,2026-06-29,2026-09-11T01:25:48+02:00
218080,Au-Haidhausen,Entire home/apt,17.0,90,55,0.42,182,High,True,2026-06-29,2026-09-11T01:25:48+02:00
218860,Berg am Laim,Entire home/apt,266.0,2,66,0.39,342,High,True,2026-06-29,2026-09-11T01:25:48+02:00
224209,Obergiesing,Private room,118.0,4,224,1.25,18,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
225414,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Entire home/apt,89.0,2,21,0.13,358,High,True,2026-06-29,2026-09-11T01:25:48+02:00
225421,Untergiesing-Harlaching,Entire home/apt,89.0,2,239,1.33,332,High,True,2026-06-29,2026-09-11T01:25:48+02:00
227106,Tudering-Riem,Entire home/apt,137.0,2,88,0.53,283,High,True,2026-06-29,2026-09-11T01:25:48+02:00
227892,Tudering-Riem,Private room,157.0,2,65,0.37,18,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
228867,Maxvorstadt,Entire home/apt,260.0,2,36,0.28,352,High,True,2026-06-29,2026-09-11T01:25:48+02:00
232430,Tudering-Riem,Entire home/apt,225.0,3,92,0.52,324,High,True,2026-06-29,2026-09-11T01:25:48+02:00
240218,Tudering-Riem,Private room,132.0,1,81,0.48,161,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
266180,Pasing-Obermenzing,Private room,67.0,1,232,1.32,273,High,True,2026-06-29,2026-09-11T01:25:48+02:00
278289,Schwabing-Freimann,Private room,56.0,3,101,0.57,160,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
285938,Neuhausen-Nymphenburg,Private room,73.0,1,234,1.35,49,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
309196,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Private room,55.0,21,39,0.26,243,High,True,2026-06-29,2026-09-11T01:25:48+02:00
311242,Obergiesing,Entire home/apt,289.0,2,143,0.83,197,High,True,2026-06-29,2026-09-11T01:25:48+02:00
315684,Hadern,Entire home/apt,269.0,4,142,1.08,163,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
406404,Schwabing-West,Entire home/apt,39.0,20,1,0.01,185,High,True,2026-06-29,2026-09-11T01:25:48+02:00
473201,Au-Haidhausen,Private room,95.0,1,97,0.57,123,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
483093,Ramersdorf-Perlach,Private room,104.0,1,218,1.27,252,High,True,2026-06-29,2026-09-11T01:25:48+02:00
485613,Neuhausen-Nymphenburg,Entire home/apt,148.0,1,66,0.4,78,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
526430,Sendling-Westpark,Private room,367.0,1,100,0.59,16,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
556122,Pasing-Obermenzing,Private room,90.0,1,253,1.49,67,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
574143,Neuhausen-Nymphenburg,Private room,47.0,2,124,0.73,28,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
609851,Maxvorstadt,Entire home/apt,280.0,5,2,0.02,109,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
609895,Schwabing-Freimann,Entire home/apt,136.0,2,23,1.0,283,High,True,2026-06-29,2026-09-11T01:25:48+02:00
625551,Pasing-Obermenzing,Private room,86.0,1,94,0.56,313,High,True,2026-06-29,2026-09-11T01:25:48+02:00
633836,Ramersdorf-Perlach,Entire home/apt,116.0,1,284,1.69,253,High,True,2026-06-29,2026-09-11T01:25:48+02:00
648368,Laim,Entire home/apt,370.0,2,35,0.23,10,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
649493,Schwabing-West,Private room,117.0,1,45,0.27,356,High,True,2026-06-29,2026-09-11T01:25:48+02:00
664050,Maxvorstadt,Private room,110.0,1,163,0.98,135,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
667321,Pasing-Obermenzing,Private room,75.0,1,24,0.14,121,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
669550,Altstadt-Lehel,Private room,76.0,1,304,1.81,93,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
699108,Tudering-Riem,Private room,65.0,4,26,0.16,74,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
701673,Ramersdorf-Perlach,Private room,38.0,2,389,2.34,22,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
703539,Tudering-Riem,Private room,4.0,180,17,0.1,182,High,True,2026-06-29,2026-09-11T01:25:48+02:00
705120,Au-Haidhausen,Entire home/apt,284.0,2,35,0.21,355,High,True,2026-06-29,2026-09-11T01:25:48+02:00
710489,Altstadt-Lehel,Entire home/apt,374.0,5,184,1.1,268,High,True,2026-06-29,2026-09-11T01:25:48+02:00
710884,Schwabing-West,Entire home/apt,175.0,1,139,0.91,279,High,True,2026-06-29,2026-09-11T01:25:48+02:00
710990,Pasing-Obermenzing,Private room,85.0,1,110,0.66,181,High,True,2026-06-29,2026-09-11T01:25:48+02:00
759516,Schwabing-West,Entire home/apt,128.0,4,34,0.9,258,High,True,2026-06-29,2026-09-11T01:25:48+02:00
779667,Maxvorstadt,Entire home/apt,189.0,1,520,3.9,222,High,True,2026-06-29,2026-09-11T01:25:48+02:00
817975,Altstadt-Lehel,Private room,132.0,1,91,0.58,157,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
820826,Au-Haidhausen,Private room,74.0,1,249,1.51,108,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
837679,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Entire home/apt,10.0,168,28,0.17,190,High,True,2026-06-29,2026-09-11T01:25:48+02:00
901225,Schwabing-West,Entire home/apt,246.0,2,52,0.35,163,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
905799,Maxvorstadt,Entire home/apt,177.0,7,118,0.73,343,High,True,2026-06-29,2026-09-11T01:25:48+02:00
910680,Schwabing-West,Entire home/apt,154.0,2,1,0.01,179,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
921010,Ludwigsvorstadt-Isarvorstadt,Private room,220.0,2,447,2.88,11,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
921158,Maxvorstadt,Private room,121.0,1,440,2.84,319,High,True,2026-06-29,2026-09-11T01:25:48+02:00
921287,Ludwigsvorstadt-Isarvorstadt,Private room,220.0,2,338,2.18,9,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
936808,Maxvorstadt,Private room,115.0,5,57,0.37,257,High,True,2026-06-29,2026-09-11T01:25:48+02:00
944648,Sendling-Westpark,Entire home/apt,30.0,30,46,0.42,266,High,True,2026-06-29,2026-09-11T01:25:48+02:00
